English,French,Hindi
environment,environnement,पर्यावरण
government,gouvernement,सरकार
technology,technologie,प्रौद्योगिकी
education,éducation,शिक्षा
development,développement,विकास
information,information,जानकारी
management,gestion,प्रबंधन
agriculture,agriculture,कृषि
communication,communication,संचार
population,population,जनसंख्याEnglish,French,Hindi
environment,environnement,पर्यावरण
government,gouvernement,सरकार
technology,technologie,प्रौद्योगिकी
education,éducation,शिक्षा
development,développement,विकास
information,information,जानकारी
management,gestion,प्रबंधन
agriculture,agriculture,कृषि
communication,communication,संचार
population,population,जनसंख्या
imagination,imagination,कल्पना
organization,organisation,संगठन
application,application,आवेदन
electricity,électricité,बिजली
engineering,ingénierie,अभियांत्रिकी
architecture,architecture,वास्तुकला
investment,investissement,निवेश
production,production,उत्पादन
distribution,distribution,वितरण
transportation,transport,परिवहन
temperature,température,तापमान
opportunity,opportunité,अवसर
administration,administration,प्रशासन
conversation,conversation,बातचीत
identification,identification,पहचान
concentration,concentration,एकाग्रता
transformation,transformation,परिवर्तन
investigation,enquête,जांच
advertisement,publicité,विज्ञापन
performance,performance,प्रदर्शन
responsibility,responsabilité,जिम्मेदारी
possibility,possibilité,संभावना
instruction,instruction,निर्देश
examination,examen,परीक्षा
developmental,développemental,विकासात्मक
communication,communication,संचार
improvement,amélioration,सुधार
presentation,présentation,प्रस्तुति
introduction,introduction,परिचय
environmental,environnemental,पर्यावरणीय
globalization,mondialisation,वैश्वीकरण
contribution,contribution,योगदान
registration,enregistrement,पंजीकरण
interpretation,interprétation,व्याख्या
documentation,documentation,दस्तावेज़
investigator,investigateur,अन्वेषक
recommendation,recommandation,सिफारिश
transportation,transport,परिवहन
configuration,configuration,संरचना
application,application,आवेदन
construction,construction,निर्माण
managemental,gestionnaire,प्रबंधनात्मक
communicational,communicationnel,संचारात्मक
conventional,conventionnel,पारंपरिक
investigator,investigateur,अन्वेषक
administrative,administratif,प्रशासनिक
distributional,distributionnel,वितरणात्मक
developmental,développemental,विकासात्मक
organizational,organisationnel,संगठनात्मक
educational,éducatif,शैक्षिक
technological,technologique,तकनीकी
environmentally,environnementalement,पर्यावरणीय रूप से
communicationist,communicationniste,संचार विशेषज्ञ
investigational,enquêteur,जांच संबंधी
representative,représentatif,प्रतिनिधि
international,international,अंतरराष्ट्रीय
responsibility,responsabilité,जिम्मेदारी
possibility,possibilité,संभावना
documentation,documentation,दस्तावेज़
configuration,configuration,संरचना